nickname,id,country,rating,averageCombatScore,roundsPlayed,averageDamagePerRound,kdRatio,kills,deaths,assists,killsPerRound,deathsPerRound,assistsPerRound,headshotPercentage,firstBloods,firstDeaths,firstBloodSuccessRate,firstBloodPerRound,firstDeathPerRound
ONS delas,69559,South Korea,0.98,213.8,352,141.0,1.02,267,262,51,0.76,0.74,0.14,24,45,57,44,0.13,0.16
SRP Manggong,69610,South Korea,0.97,192.0,496,123.9,0.90,333,372,157,0.67,0.75,0.32,32,34,40,46,0.07,0.08
MARU Arduino,69574,South Korea,0.96,195.8,368,132.3,0.96,260,272,82,0.71,0.74,0.22,31,25,41,38,0.07,0.11
Zest,2610,South Korea,0.96,188.9,654,125.2,1.04,436,418,180,0.67,0.64,0.28,31,42,48,47,0.06,0.07
Rap1d,42093,South Korea,0.96,184.7,1422,126.9,0.97,939,966,471,0.66,0.68,0.33,29,84,102,45,0.06,0.07
GodDead,4816,South Korea,0.96,180.7,774,116.7,0.92,498,540,308,0.64,0.70,0.40,26,50,44,53,0.06,0.06
Vow,29399,South Korea,0.95,195.3,992,135.5,0.99,696,704,246,0.70,0.71,0.25,29,78,108,42,0.08,0.11
SRP GodsB,69612,South Korea,0.95,195.0,496,131.3,1.02,345,338,107,0.70,0.68,0.22,25,38,43,47,0.08,0.09
Moves,4093,South Korea,0.95,192.6,590,132.3,0.95,384,405,179,0.65,0.69,0.30,25,56,59,49,0.09,0.10
Bangnan,3436,South Korea,0.94,204.0,404,142.1,1.01,309,305,52,0.76,0.75,0.13,33,76,68,53,0.19,0.17
Only1,62978,South Korea,0.94,198.7,361,135.4,1.01,265,263,62,0.73,0.73,0.17,23,63,50,56,0.17,0.14
emptyKR,42151,South Korea,0.94,188.8,704,130.2,0.91,462,506,212,0.66,0.72,0.30,25,72,72,50,0.10,0.10
Sunday,456,South Korea,0.94,181.3,590,123.0,1.02,396,390,151,0.67,0.66,0.26,29,31,30,51,0.05,0.05
kobra,4014,South Korea,0.93,210.1,467,139.5,0.93,343,369,52,0.73,0.79,0.11,29,83,83,50,0.18,0.18
allow,4094,South Korea,0.93,203.6,467,141.2,0.93,329,354,100,0.70,0.76,0.21,28,40,55,42,0.09,0.12
DK NGen,69599,South Korea,0.93,181.9,486,120.6,0.99,311,315,153,0.64,0.65,0.31,25,38,48,44,0.08,0.10
Carpe,54173,South Korea,0.88,172.0,423,115.0,0.80,247,310,141,0.58,0.73,0.33,24,30,41,42,0.07,0.10
Aru,54151,South Korea,0.88,154.3,1881,101.0,0.78,1041,1335,843,0.55,0.71,0.45,24,108,144,43,0.06,0.08
Efina,3393,South Korea,0.87,177.2,496,121.1,0.95,325,342,101,0.66,0.69,0.20,24,35,44,44,0.07,0.09
Lakia,3383,South Korea,0.87,168.4,997,112.7,0.84,578,686,335,0.58,0.69,0.34,26,65,98,40,0.07,0.10
pr0xy,15869,South Korea,0.85,170.7,368,117.8,0.79,216,274,119,0.59,0.74,0.32,33,21,27,44,0.06,0.07
Blueming,4394,South Korea,0.84,177.9,352,119.3,0.80,218,272,78,0.62,0.77,0.22,24,26,36,42,0.07,0.10
ONS IDG,69558,South Korea,0.84,170.4,352,111.5,0.77,201,260,112,0.57,0.74,0.32,25,22,22,50,0.06,0.06
Wavy,3445,South Korea,0.83,158.9,496,104.7,0.70,265,378,209,0.53,0.76,0.42,18,29,55,35,0.06,0.11
Medusa,725,South Korea,0.82,177.8,502,121.8,0.88,308,350,106,0.61,0.70,0.21,33,48,58,45,0.10,0.12
